expression	method	samp_size	median	mem_alloc
fuzzyjoin	osa	3000	1.5447974866256118	638162600
fozziejoin	osa	3000	0.011753694096114486	318832
fuzzyjoin	osa	4000	2.4218365770648234	1118378952
fozziejoin	osa	4000	0.018971123558003455	323616
fuzzyjoin	osa	5000	2.894838546635583	1743283448
fozziejoin	osa	5000	0.028439833084121346	404576
fuzzyjoin	lv	3000	0.9125798606546596	630590104
fozziejoin	lv	3000	0.006629300594795495	242496
fuzzyjoin	lv	4000	2.392169625032693	1118378952
fozziejoin	lv	4000	0.010029456054326147	323616
fuzzyjoin	lv	5000	2.9614378435653634	1743283448
fozziejoin	lv	5000	0.014052545942831784	404576
fuzzyjoin	dl	3000	1.1190032385638915	630590104
fozziejoin	dl	3000	0.13005432748468593	242496
fuzzyjoin	dl	4000	2.6262703871470876	1118378952
fozziejoin	dl	4000	0.2254570930963382	323616
fuzzyjoin	dl	5000	3.584973133460153	1743283448
fozziejoin	dl	5000	0.34761567640816793	404576
fuzzyjoin	hamming	3000	0.7965616965666413	289721568
fozziejoin	hamming	3000	0.005804270913358778	242496
fuzzyjoin	hamming	4000	1.215006257116329	512913800
fozziejoin	hamming	4000	0.007793575059622526	323616
fuzzyjoin	hamming	5000	2.4751397565123625	800048400
fozziejoin	hamming	5000	0.010717835975810885	404416
fuzzyjoin	lcs	3000	1.0175267640734091	289720152
fozziejoin	lcs	3000	0.09564483258873224	242016
fuzzyjoin	lcs	4000	1.6183914236025885	512911440
fozziejoin	lcs	4000	0.16314819001127034	322816
fuzzyjoin	lcs	5000	2.608109060500283	800046040
fozziejoin	lcs	5000	0.24903291615191847	403616
fuzzyjoin	qgram	3000	2.1151901650009677	289722512
fozziejoin	qgram	3000	0.16852758754976094	242816
fuzzyjoin	qgram	4000	4.863858905097004	512915216
fozziejoin	qgram	4000	0.29702525114407763	324096
fuzzyjoin	qgram	5000	7.204860034107696	800050544
fozziejoin	qgram	5000	0.4503031551139429	405216
fuzzyjoin	cosine	3000	2.338587260164786	299458864
fozziejoin	cosine	3000	0.11579279706347734	2677696
fuzzyjoin	cosine	4000	4.2752186401048675	528969528
fozziejoin	cosine	4000	0.19472667016088963	4697696
fuzzyjoin	cosine	5000	7.451648900518194	859855792
fozziejoin	cosine	5000	0.3027048510266468	7081696
fuzzyjoin	jaccard	3000	2.2226138701080345	290471976
fozziejoin	jaccard	3000	0.022850548673886806	435936
fuzzyjoin	jaccard	4000	4.2375585055560805	514026248
fozziejoin	jaccard	4000	0.036925451597198844	643296
fuzzyjoin	jaccard	5000	7.2257762115914375	801869112
fozziejoin	jaccard	5000	0.05460921657504514	871776
fuzzyjoin	jw	3000	38.03861069009872	2179389944
fozziejoin	jw	3000	1.0645202675950713	498694816
fuzzyjoin	jw	4000	65.19194818346296	3839160584
fozziejoin	jw	4000	1.7597525905584916	883904256
fuzzyjoin	jw	5000	108.22382297657896	5665720760
fozziejoin	jw	5000	2.907755004998762	1369888896
fuzzyjoin	soundex	3000	2.88958778855158	471502920
fozziejoin	soundex	3000	0.284839209576603	1355936
fuzzyjoin	soundex	4000	4.995494671573397	836037704
fozziejoin	soundex	4000	0.5047743826289661	2394816
fuzzyjoin	soundex	5000	7.677954770042561	1303786440
fozziejoin	soundex	5000	0.786972192581743	3590976
