expression	method	samp_size	median	mem_alloc
zoomer	Jaccard	1000000	85.28553481213748	756681552
fozzie	Jaccard	1000000	56.26879091607407	250842440
zoomer	Jaccard	1500000	143.896661139559	1523463200
fozzie	Jaccard	1500000	123.44430056994315	504032576
zoomer	Jaccard	2000000	207.8048510509543	2550568960
fozzie	Jaccard	2000000	222.37961840507342	841238176
zoomer	Hamming	50000	20.46519314358011	14812768
fozzie	Hamming	50000	1.0885389729519375	4791616
zoomer	Hamming	75000	48.23749928351026	23947680
fozzie	Hamming	75000	2.4248521521221846	7843456
zoomer	Hamming	100000	84.65043464198243	34258720
fozzie	Hamming	100000	5.549030580034014	11261056
